rank,title,imageUrl,year,id
63,WALL·E,9cJETuLMc6R0bTWRA5i7ctY9bxk.jpg,2008,tt0910970
64,Princess Mononoke,mNqZOtJIQfFQPjo3hmYLIn8Qqhf.jpg,1997,tt0119698
65,American Beauty,3UBQGKS8c1dxRnDiu5kUK6ej3pP.jpg,1999,tt0169547
66,The Dark Knight Rises,dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg,2012,tt1345836
67,Witness for the Prosecution,heY0CCUqN4DY3X30thssZkvWZwx.jpg,1957,tt0051201
68,Oldboy,cmspwpe1usgG5hYijfEcTrueKRC.jpg,2003,tt0364569
69,Aliens,nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg,1986,tt0090605
70,Once Upon a Time in America,fqP3Q7DWMFqW7mh11hWXbNwN9rz.jpg,1984,tt0087843
71,Das Boot,xRhHL7AHEo1J1d70qwmwQMZlEtd.jpg,1981,tt0082096
72,Citizen Kane,sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,1941,tt0033467
73,Vertigo,obhM86qyv8RsE69XSMTtT9FdE0b.jpg,1958,tt0052357
74,North by Northwest,aNV789h3oHm2pTHK5Bdq5RuiumZ.jpg,1959,tt0053125
75,Braveheart,2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,1995,tt0112573
76,Reservoir Dogs,g7spS2Y4SZoQoC6Hn7zoqEqdYqR.jpg,1992,tt0105236
77,Star Wars: Episode VI - Return of the Jedi,jx5p0aHlbPXqe3AH9G15NvmWaqQ.jpg,1983,tt0086190
78,M,AqE126KXLcT3wwmeM3HtlKqyGze.jpg,1931,tt0022100
79,Your Name,nPTjj6ZfBXXBwOhd7iUy6tyuKWt.jpg,2016,tt5311514
80,Dangal,5PDT64gtbmH10gK5AYR7LZh5PQk.jpg,2016,tt5074352
81,Requiem for a Dream,muym4jTjdLx7E6as09d1wlC3sOB.jpg,2000,tt0180093
82,Amadeus,flnoqdC38mbaulAeptjynOFO7yi.jpg,1984,tt0086879
83,Gwiazdy na ziemi,blank,2007,tt0986264
84,Amélie,f0uorE7K7ggHfr8r7pUTOHWkOlE.jpg,2001,tt0211915
85,A Clockwork Orange,kgAi87gyx6b4oGJYSC36tVkJyJu.jpg,1971,tt0066921
86,Lawrence of Arabia,j21UXCOq0EbV8EPTtmPn1CGePfB.jpg,1962,tt0056172
87,Eternal Sunshine of the Spotless Mind,7y3eYvTsGjxPYDtSnumCLIMDkrV.jpg,2004,tt0338013
88,Double Indemnity,nW0cCpfuGcR1JG7EinDbdL2Ijf2.jpg,1944,tt0036775
89,Taxi Driver,ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976,tt0075314
90,2001: A Space Odyssey,90T7b2LIrL07ndYQBmSm09yqVEH.jpg,1968,tt0062622
91,Singin' in the Rain,uJgp7KNBWHTXjEnbJZDodBTx4oD.jpg,1952,tt0045152
92,Trzej idioci,wbE5SRTZFtQxgj2nIo4HJpQDk0k.jpg,2009,tt1187043
93,Toy Story,rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995,tt0114709
94,To Kill a Mockingbird,fqIj7oE79qbyqHv5NBjtTI7yXP7.jpg,1962,tt0056592
95,Full Metal Jacket,29veIwD38rVL2qY74emXQw4y25H.jpg,1987,tt0093058
96,Bękarty wojny,6zYuTKyvcwmtNvXXvJZNT0IgBL0.jpg,2009,tt0361748
97,Bicycle Thieves,3f8db9rz3a90ZviHvOET9unx33V.jpg,1948,tt0040522
98,The Sting,mQaM8fDQdFWwCTFp0TZG8fChlZ5.jpg,1973,tt0070735
99,The Kid,drgMcyTsySQBnUPGaBThCHGdlWT.jpg,1921,tt0012349
100,Toy Story 3,mMltbSxwEdNE4Cv8QYLpzkHWTDo.jpg,2010,tt0435761
101,Snatch,on9JlbGEccLsYkjeEph2Whm1DIp.jpg,2000,tt0208092
102,Good Will Hunting,jq8LjngZ7XZEQge5JFTdOGMrHyZ.jpg,1997,tt0119217
103,The Hunt,2wxvvnHKdZRB31Drf7PbRzPb0mR.jpg,2012,tt2106476
104,Monty Python and the Holy Grail,jRx1nDUA4sb2NEKQaukXKBz6pCf.jpg,1975,tt0071853
105,For a Few Dollars More,o4y1dlqXFETChi1QW2TspfrCJ8e.jpg,1965,tt0059578
106,Scarface,zr2p353wrd6j3wjLgDT4TcaestB.jpg,1983,tt0086250
107,L.A. Confidential,rIXzJCAvyd3Ci8ipylDQ5wUKqwh.jpg,1997,tt0119488
108,The Apartment,8nrQKQjD6z0SJouKHQapXzmjFc6.jpg,1960,tt0053604
109,Metropolis,qriaeUUwdmlgethK3aSAx68mG05.jpg,1927,tt0017136
110,A Separation,xZHxyjQXLZiUajvBrnGtoOYX874.jpg,2011,tt1832382
111,Rashomon,mwWJuktWk8z5OY4og0z48Jg4u3n.jpg,1950,tt0042876
112,Indiana Jones and the Last Crusade,4p1N2Qrt8j0H8xMHMHvtRxv9weZ.jpg,1989,tt0097576
113,Up,nk11pvocdb5zbFhX5oq5YiLPYMo.jpg,2009,tt1049413
114,Yojimbo,tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg,1961,tt0055630
115,All About Eve,6numIZH6uR3NlJgY9m7nGH0jhs.jpg,1950,tt0042192
116,Batman Begins,dr6x4GyyegBWtinPBzipY02J2lV.jpg,2005,tt0372784
117,Some Like It Hot,pxc9EFCMYkItESpqqrI783yl8Gh.jpg,1959,tt0053291
118,Unforgiven,km6qw4qUkHQRN5y2U1juM1WkBFh.jpg,1992,tt0105695
119,The Treasure of the Sierra Madre,e3lYTRwiDVPQv07xKldwlLAXikN.jpg,1948,tt0040897
120,Downfall,kNjTWvfJuUTH3ox99UV0voZT0g3.jpg,2004,tt0363163
121,Die Hard,mc7MubOLcIw3MDvnuQFrO9psfCa.jpg,1988,tt0095016
122,Heat,zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995,tt0113277
123,Mój ojciec i mój syn,blank,2005,tt0476735
124,Raging Bull,3cgzzWsUOBlNjmA5m4qs9BGkezC.jpg,1980,tt0081398
125,Ikiru,b7QquFirLZeJ02zIXtxbFaiZy7s.jpg,1952,tt0044741
126,The Great Escape,qhy4HgUqhEbwQ1ekKTv7yEB3b0e.jpg,1963,tt0057115
127,The Third Man,rO2Fq0AZZx9obs52KJdx4mRE8p5.jpg,1949,tt0041959
128,Children of Heaven,ll5OsSyudKHgrQFM7lYwSfzb5pp.jpg,1997,tt0118849
129,Incendies,sEUG3qjxwHjxkzuO7plrRHhOZUH.jpg,2010,tt1255953
